331	185	54	159
361	177	88	157
471	156	194	156
484	165	205	167
448	199	169	195
452	206	171	201
424	207	142	195
360	244	74	226
363	247	79	230
347	254	55	236
356	253	67	235
353	265	63	246
358	270	68	251
380	260	95	245
404	256	116	241
478	255	185	248
358	281	68	262
362	281	72	265
352	306	52	288
360	303	63	285
371	295	74	278
371	302	74	287
329	312	27	294
494	302	190	293
312	326	7	307
354	331	53	313
371	345	62	329
365	350	61	335
399	352	93	338
410	319	108	306
422	320	122	307
458	330	153	319
496	325	188	315
